"Series","Series.Name","Season","Episode","IMDB.Ranking","Title","Star.date","Air.date","Bechdel.Wallace.Test","Director","Writer.1","Writer.2","Writer.3","Writer.4","Writer.5","Writer.6","Female.Director","Female.Writer.1","Female.Writer.2","Female.Writer.3","Female.Writer.4","Female.Writer.5","Female.Writer.6","Executive.Producer.1","Executive.Producer.2","Executive.Producer.3","Co.Executive.Producer.1","Co.Executive.Producer.2","Co.Executive.Producer.3","Producer.1","Producer.2","Producer.3","Producer.4","Co.Producer.1","Co.Producer.2","Co.Producer.3","Co.Producer.4","Co.Producer.5","Associate.Producer.1","Associate.Producer.2","Supervising.Producer.1","Supervising.Producer.2","Supervising.Producer.3","Co.Supervising.Producer.1","Co.Supervising.Producer.2","Line.Producer","Coordinating.Producer","Consulting.Producer.1","Consulting.Producer.2","Female.Executive.Producer","Female.Co.Executive.Producer","Female.Producer","Female.Co.Producer","Female.Associate.Producer","Female.Supervising.Producer","Female.Co.Supervising.Producer","Female.Line.Producer"
"TOS","The Original Series",1,22,8.9,"Space Seed","3141.9","16/2/67",FALSE,"Marc Daniels","Gene L. Coon","Carey Wilber",NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Gene Rodenberry",NA,NA,NA,NA,NA,"Gene L. Coon",NA,NA,NA,NA,NA,NA,NA,NA,"Robert H. Justman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"TOS","The Original Series",1,23,8.2,"A Taste of Armageddon","3192.1","23/2/67",FALSE,"Joseph Pevney","Robert Hamner","Gene L. Coon",NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Gene Rodenberry",NA,NA,NA,NA,NA,"Gene L. Coon",NA,NA,NA,NA,NA,NA,NA,NA,"Robert H. Justman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"TOS","The Original Series",1,24,8,"This Side of Paradise","3417.3","2/3/67",FALSE,"Ralph Senensky","Jerry Sohl","D. C. Fontana",NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Gene Rodenberry",NA,NA,NA,NA,NA,"Gene L. Coon",NA,NA,NA,NA,NA,NA,NA,NA,"Robert H. Justman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"TOS","The Original Series",1,25,8.5,"The Devil in the Dark","3196.1","9/3/67",FALSE,"Joseph Pevney","Gene L. Coon",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Gene Rodenberry",NA,NA,NA,NA,NA,"Gene L. Coon",NA,NA,NA,NA,NA,NA,NA,NA,"Robert H. Justman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"TOS","The Original Series",1,26,8.3,"Errand of Mercy","3198.4","23/3/67",FALSE,"John Newland","Gene L. Coon",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Gene Rodenberry",NA,NA,NA,NA,NA,"Gene L. Coon",NA,NA,NA,NA,NA,NA,NA,NA,"Robert H. Justman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"TOS","The Original Series",1,27,5.9,"The Alternative Factor","3087.6","30/3/67",FALSE,"Gerd Oswald","Don Ingalls",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Gene Rodenberry",NA,NA,NA,NA,NA,"Gene L. Coon",NA,NA,NA,NA,NA,NA,NA,NA,"Robert H. Justman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"TOS","The Original Series",1,28,9.3,"The City on the Edge of Forever","Unknown","6/4/67",FALSE,"Joseph Pevney","Harlan Ellison",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Gene Rodenberry",NA,NA,NA,NA,NA,"Gene L. Coon",NA,NA,NA,NA,NA,NA,NA,NA,"Robert H. Justman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"TOS","The Original Series",1,29,7.7,"Operation: Annihilate!","3287.2","13/4/67",FALSE,"Herschel Daughtery","Steve Carabatos",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Gene Rodenberry",NA,NA,NA,NA,NA,"Gene L. Coon",NA,NA,NA,NA,NA,NA,NA,NA,"Robert H. Justman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"TOS","The Original Series",2,1,8.8,"Amok Time","3372.7","15/9/67",FALSE,"Joseph Pevney","Theodore Strugeon",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Gene Rodenberry",NA,NA,NA,NA,NA,"Gene L. Coon",NA,NA,NA,NA,NA,NA,NA,NA,"Robert H. Justman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"TOS","The Original Series",2,2,7.3,"Who Mourns for Adonais?","3468.1","22/9/67",FALSE,"Marc Daniels","Gilbert Ralston",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Gene Rodenberry",NA,NA,NA,NA,NA,"Gene L. Coon",NA,NA,NA,NA,NA,NA,NA,NA,"Robert H. Justman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"TOS","The Original Series",2,3,7.8,"The Changeling","3541.9","29/9/67",TRUE,"Marc Daniels","John Meredyth Lucas",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Gene Rodenberry",NA,NA,NA,NA,NA,"Gene L. Coon",NA,NA,NA,NA,NA,NA,NA,NA,"Robert H. Justman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"TOS","The Original Series",2,4,9.2,"Mirror, Mirror","Unknown","6/10/67",FALSE,"Marc Daniels","Jerome Bixby",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Gene Rodenberry",NA,NA,NA,NA,NA,"Gene L. Coon",NA,NA,NA,NA,NA,NA,NA,NA,"Robert H. Justman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"TOS","The Original Series",2,5,6.5,"The Apple","3715.3","13/10/67",FALSE,"Joseph Pevney","Max Ehrlich","Gene L. Coon",NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Gene Rodenberry",NA,NA,NA,NA,NA,"Gene L. Coon",NA,NA,NA,NA,NA,NA,NA,NA,"Robert H. Justman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"TOS","The Original Series",2,6,8.8,"The Doomsday Machine","4202.9","20/10/67",FALSE,"Marc Daniels","Norman Spinrad",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Gene Rodenberry",NA,NA,NA,NA,NA,"Gene L. Coon",NA,NA,NA,NA,NA,NA,NA,NA,"Robert H. Justman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
